iter	MultiClass
0	2.226861514
1	1.897828338
2	1.6833237
3	1.51772906
4	1.385109407
5	1.278672877
6	1.185200112
7	1.105853289
8	1.035623967
9	0.9729694834
10	0.9170251267
11	0.865820681
12	0.8196665033
13	0.778586674
14	0.7424859238
15	0.706849284
16	0.6734242506
17	0.6428124734
18	0.6166396775
19	0.5908101093
20	0.564690228
21	0.5418504817
22	0.5195895313
23	0.5009853358
24	0.4826645843
25	0.4628781079
26	0.446584722
27	0.429467345
28	0.4159862274
29	0.4014095915
30	0.3869604983
31	0.3744229647
32	0.3629261025
33	0.3520074654
34	0.3398763137
35	0.3296029594
36	0.3198245997
37	0.310159596
38	0.3015155246
39	0.2933930562
40	0.2856418475
41	0.2766892705
42	0.2689641856
43	0.2616629142
44	0.253392278
45	0.2468494775
46	0.2413110652
47	0.236184992
48	0.2295037911
49	0.2238889536
50	0.2181819559
51	0.2124495596
52	0.2073725357
53	0.2021970009
54	0.1983327831
55	0.1944771069
56	0.1904652749
57	0.18590941
58	0.1824904686
59	0.1782308413
