iter	Passed	Remaining
0	142	8429
1	285	8293
2	453	8618
3	624	8747
4	828	9109
5	999	8997
6	1175	8896
7	1401	9107
8	1631	9246
9	1826	9131
10	2001	8917
11	2157	8628
12	2299	8313
13	2467	8108
14	2652	7957
15	2817	7748
16	3006	7604
17	3191	7447
18	3421	7383
19	3639	7278
20	3872	7192
21	4195	7246
22	4352	7001
23	4526	6789
24	4700	6580
25	5027	6574
26	5334	6520
27	5648	6455
28	5858	6262
29	6104	6104
30	6286	5881
31	6472	5663
32	6778	5546
33	7060	5398
34	7324	5232
35	7694	5129
36	7903	4912
37	8218	4757
38	8396	4521
39	8638	4319
40	8793	4075
41	8946	3834
42	9100	3597
43	9327	3391
44	9477	3159
45	9631	2931
46	9776	2704
47	9929	2482
48	10073	2261
49	10243	2048
50	10383	1832
51	10567	1625
52	10718	1415
53	10906	1211
54	11206	1018
55	11363	811
56	11546	607
57	11708	403
58	11914	201
59	12073	0
